emoji,name,group,subgroup,literal,clarity,keep
🤘🏻,sign of the horns: light skin tone,People & Body,hand-fingers-partial,rock-on,,
🤘🏼,sign of the horns: medium-light skin tone,People & Body,hand-fingers-partial,rock-on,,
🤘🏽,sign of the horns: medium skin tone,People & Body,hand-fingers-partial,rock-on,,
🤘🏾,sign of the horns: medium-dark skin tone,People & Body,hand-fingers-partial,rock-on,,
🤘🏿,sign of the horns: dark skin tone,People & Body,hand-fingers-partial,rock-on,,
🤙,call me hand,People & Body,hand-fingers-partial,call-me,,
🤙🏻,call me hand: light skin tone,People & Body,hand-fingers-partial,call-me,,
🤙🏼,call me hand: medium-light skin tone,People & Body,hand-fingers-partial,call-me,,
🤙🏽,call me hand: medium skin tone,People & Body,hand-fingers-partial,call-me,,
🤙🏾,call me hand: medium-dark skin tone,People & Body,hand-fingers-partial,call-me,,
🤙🏿,call me hand: dark skin tone,People & Body,hand-fingers-partial,call-me,,
👈,backhand index pointing left,People & Body,hand-single-finger,point-left,,
👈🏻,backhand index pointing left: light skin tone,People & Body,hand-single-finger,point-left,,
👈🏼,backhand index pointing left: medium-light skin tone,People & Body,hand-single-finger,point-left,,
👈🏽,backhand index pointing left: medium skin tone,People & Body,hand-single-finger,point-left,,
👈🏾,backhand index pointing left: medium-dark skin tone,People & Body,hand-single-finger,point-left,,
👈🏿,backhand index pointing left: dark skin tone,People & Body,hand-single-finger,point-left,,
👉,backhand index pointing right,People & Body,hand-single-finger,point-right,,
👉🏻,backhand index pointing right: light skin tone,People & Body,hand-single-finger,point-right,,
👉🏼,backhand index pointing right: medium-light skin tone,People & Body,hand-single-finger,point-right,,
👉🏽,backhand index pointing right: medium skin tone,People & Body,hand-single-finger,point-right,,
👉🏾,backhand index pointing right: medium-dark skin tone,People & Body,hand-single-finger,point-right,,
👉🏿,backhand index pointing right: dark skin tone,People & Body,hand-single-finger,point-right,,
👆,backhand index pointing up,People & Body,hand-single-finger,point-up,,
👆🏻,backhand index pointing up: light skin tone,People & Body,hand-single-finger,point-up,,
👆🏼,backhand index pointing up: medium-light skin tone,People & Body,hand-single-finger,point-up,,
