lemma,status,emoji,literal,clarity,source,notes
stress,redundant,,,,lemma-map,→ worry
administration,redundant,,,,lemma-map,→ government
complex,redundant,,,,lemma-map,→ part
text,redundant,,,,lemma-map,→ note
context,redundant,,,,lemma-map,→ join
ride,redundant,,,,lemma-map,→ drive
directly,redundant,,,,lemma-map,→ refer
heavy,redundant,,,,lemma-map,→ harbor
remove,redundant,,,,lemma-map,→ waste
conduct,redundant,,,,lemma-map,→ announce
equipment,redundant,,,,lemma-map,→ tool
otherwise,redundant,,,,lemma-map,→ different
title,redundant,,,,lemma-map,→ name
extra,redundant,,,,lemma-map,→ add
executive,redundant,,,,lemma-map,→ work
expensive,redundant,,,,lemma-map,→ price
sample,redundant,,,,lemma-map,→ test
sex,redundant,,,,lemma-map,→ pair
deliver,redundant,,,,lemma-map,→ get
connection,redundant,,,,lemma-map,→ connect
primary,redundant,,,,lemma-map,→ great
collect,redundant,,,,lemma-map,→ gather
inform,redundant,,,,lemma-map,→ announce
principle,redundant,,,,lemma-map,→ law
straight,redundant,,,,lemma-map,→ long
appeal,redundant,,,,lemma-map,→ interest
highly,redundant,,,,lemma-map,→ high
trust,redundant,,,,lemma-map,→ agree
wonderful,redundant,,,,lemma-map,→ great
absolutely,redundant,,,,lemma-map,→ lot
flow,redundant,,,,lemma-map,→ ocean
fair,redundant,,,,lemma-map,→ law
additional,redundant,,,,lemma-map,→ add
responsible,redundant,,,,lemma-map,→ law
collection,redundant,,,,lemma-map,→ gather
negative,redundant,,,,lemma-map,→ bad
band,redundant,,,,lemma-map,→ music
relative,redundant,,,,lemma-map,→ parent
tour,redundant,,,,lemma-map,→ travel
alternative,redundant,,,,lemma-map,→ choose
software,redundant,,,,lemma-map,→ computer
cheap,redundant,,,,lemma-map,→ sale
double,redundant,,,,lemma-map,→ two
observe,redundant,,,,lemma-map,→ see
sentence,redundant,,,,lemma-map,→ note
progress,redundant,,,,lemma-map,→ increase
truth,redundant,,,,lemma-map,→ true
lay,redundant,,,,lemma-map,→ rest
speed,redundant,,,,lemma-map,→ fast
politics,redundant,,,,lemma-map,→ vote
reply,redundant,,,,lemma-map,→ answer
display,redundant,,,,lemma-map,→ show
transfer,redundant,,,,lemma-map,→ move
perfect,redundant,,,,lemma-map,→ lot
slightly,redundant,,,,lemma-map,→ less
overall,redundant,,,,lemma-map,→ world
intend,redundant,,,,lemma-map,→ idea
respond,redundant,,,,lemma-map,→ answer
regular,redundant,,,,lemma-map,→ again
physical,redundant,,,,lemma-map,→ strong
apart,redundant,,,,lemma-map,→ separate
federal,redundant,,,,lemma-map,→ government
reveal,redundant,,,,lemma-map,→ look
percentage,redundant,,,,lemma-map,→ score
status,redundant,,,,lemma-map,→ stand
crime,redundant,,,,lemma-map,→ officer
decline,redundant,,,,lemma-map,→ fail
decade,redundant,,,,lemma-map,→ year
launch,redundant,,,,lemma-map,→ start
warn,redundant,,,,lemma-map,→ problem
consumer,redundant,,,,lemma-map,→ store
favor,redundant,,,,lemma-map,→ like
partner,redundant,,,,lemma-map,→ agree
institution,redundant,,,,lemma-map,→ government
spot,redundant,,,,lemma-map,→ see
eventually,redundant,,,,lemma-map,→ wait
excite,redundant,,,,lemma-map,→ interest
reader,redundant,,,,lemma-map,→ read
importance,redundant,,,,lemma-map,→ important
distance,redundant,,,,lemma-map,→ long
guide,redundant,,,,lemma-map,→ way
grant,redundant,,,,lemma-map,→ give
feed,redundant,,,,lemma-map,→ food
sector,redundant,,,,lemma-map,→ half
mistake,redundant,,,,lemma-map,→ wrong
ensure,redundant,,,,lemma-map,→ safe
satisfy,redundant,,,,lemma-map,→ happy
chief,redundant,,,,lemma-map,→ leader
expert,redundant,,,,lemma-map,→ learn
south,redundant,,,,lemma-map,→ way
library,redundant,,,,lemma-map,→ read
