lemma,status,emoji,literal,clarity,source,notes
engine,metaphor,🚒,fire-engine,uvere,metaphorical,
journey,metaphor,🧭,compass,ogamo,metaphorical,
relief,literal,😌,relief,eru,exact,
honor,literal,🎖️,honor,ohono,exact,
stretch,metaphor,🧑,person,ebo,metaphorical,
declare,metaphor,🐄,cow,ogowogo,metaphorical,
retire,metaphor,🎢,roller-coaster,orelo,metaphorical,
tiny,metaphor,🐜,ant,ana,metaphorical,
careful,metaphor,☸️,dharma-wheel,adahe,metaphorical,
native,metaphor,🤠,cowboy,ogowo,metaphorical,
fruit,metaphor,🫚,ginger,ugenu,metaphorical,
witness,literal,👁️‍🗨️,witness,uwe,exact,
terrible,metaphor,💀,skull,uzugulu,metaphorical,
researcher,metaphor,🧑‍🔬,scientist,uzegu,metaphorical,
mental,metaphor,🥐,croissant,ogurazo,metaphorical,
vision,metaphor,🪉,harp,ahara,metaphorical,
personality,metaphor,🎭,theater,edahe,metaphorical,
fat,metaphor,🍔,hamburger,ahume,metaphorical,
fellow,metaphor,💆,massage,amaze,metaphorical,
chemical,metaphor,🧪,test-tube,eduze,metaphorical,
capture,metaphor,🎚️,slider,uzelude,metaphorical,
tip,metaphor,💡,lightbulb,uluguhu,metaphorical,
discount,metaphor,☠️,skull-crossbones,uzo,metaphorical,
chairman,metaphor,🧑‍⚖️,judge,uje,metaphorical,
proportion,metaphor,🍡,dango,adona,metaphorical,
ear,literal,👂,ear,era,exact,
disappear,metaphor,👻,ghost,ogoho,metaphorical,
shout,metaphor,🎃,jack-o-lantern,ajo,metaphorical,
yard,metaphor,🗡️,dagger,adega,metaphorical,
constant,metaphor,♾️,infinity,unuvu,metaphorical,
hill,metaphor,⛰️,mountain,omunadu,metaphorical,
considerable,metaphor,⏺️,record,eroge,metaphorical,
instruction,metaphor,🍄,mushroom,umozo,metaphorical,
intelligence,metaphor,#️⃣,hash,ahaza,metaphorical,
ideal,metaphor,⭐,star,azada,metaphorical,
folk,metaphor,👥,silhouettes,uzoluhe,metaphorical,
guard,literal,💂,guard,ugaru,exact,
cat,literal,🐈,cat,agada,exact,
somewhat,function,,,,denylist,
kiss,literal,💏,kiss,uguzu,exact,
joint,metaphor,🦆,duck,udugu,metaphorical,
compete,metaphor,🏆,trophy,odorobo,metaphorical,
poll,metaphor,⏏️,eject,eje,metaphorical,
weak,metaphor,🪱,worm,oworo,metaphorical,
reserve,metaphor,🏦,bank,abanaga,metaphorical,
bore,metaphor,🥱,yawn,owa,metaphorical,
mission,metaphor,🚀,rocket,orego,metaphorical,
somehow,function,,,,denylist,
tone,metaphor,🎵,music-note,umuzo,metaphorical,
neighborhood,metaphor,⏬,fast-down,avozado,metaphorical,
passenger,metaphor,🇻🇺,vanuatu,avuna,metaphorical,
justice,metaphor,🪅,pinata,ubana,metaphorical,
phase,metaphor,🌙,crescent-moon,egero,metaphorical,
rush,metaphor,🗃️,file-box,uvelobu,metaphorical,
formal,metaphor,🇸🇱,sierra-leone,uzera,metaphorical,
employer,metaphor,🍭,lollipop,olulo,metaphorical,
latter,metaphor,🏁,checkered-flag,egehega,metaphorical,
plate,literal,🍽️,plate,abelade,exact,
ban,metaphor,⛔,no-entry,onenodo,metaphorical,
steal,metaphor,🥷,ninja,unanu,metaphorical,
protest,metaphor,🇻🇳,vietnam,uveda,metaphorical,
index,metaphor,☝️,point,obuno,metaphorical,
frequent,metaphor,🧊,ice,ugegu,metaphorical,
circle,metaphor,🔴,red,erede,metaphorical,
command,metaphor,👑,crown,ogorowo,metaphorical,
sick,literal,🤒,sick,uzugugu,exact,
impress,metaphor,🕶️,sunglasses,uzane,metaphorical,
joke,metaphor,🤡,clown,ogolowo,metaphorical,
sky,metaphor,🤑,greed,ege,metaphorical,
column,metaphor,🦊,fox,ovozo,metaphorical,
impose,metaphor,🔨,hammer,ahema,metaphorical,
besides,function,,,,denylist,
ancient,metaphor,⌛,hourglass-done,ohura,metaphorical,
coast,metaphor,🥛,milk,umu,metaphorical,
ill,metaphor,🤒,sick,uzugugu,metaphorical,
kick,metaphor,🦶,foot,ovodo,metaphorical,
multiple,metaphor,*️⃣,asterisk,azedura,metaphorical,
yield,metaphor,🌾,rice-plant,ure,metaphorical,
via,function,,,,denylist,
legislation,metaphor,📜,scroll,ozogoro,metaphorical,
county,metaphor,🗺️,world-map,owaro,metaphorical,
unlike,metaphor,🔀,shuffle,uzehuve,metaphorical,
assistant,metaphor,🧑‍🏭,factory-worker,avo,metaphorical,
implement,metaphor,🔧,wrench,ewere,metaphorical,
chart,metaphor,🎅,santa-claus,azana,metaphorical,
attach,metaphor,🇵🇷,puerto-rico,ubero,metaphorical,
advise,metaphor,📩,envelope-outgoing,enevolebo,metaphorical,
acknowledge,metaphor,😤,huff,uhu,metaphorical,
reward,metaphor,🎧,headphones,ehado,metaphorical,
hat,metaphor,🎩,top-hat,odabo,metaphorical,
voter,metaphor,🤾,handball,ahana,metaphorical,
meanwhile,metaphor,⏳,hourglass,ohurago,metaphorical,
furthermore,function,,,,denylist,
accuse,metaphor,🗄️,filing-cabinet,uvula,metaphorical,
wage,metaphor,🥏,frisbee,uverezu,metaphorical,
absence,metaphor,🪹,empty-nest,emo,metaphorical,
remark,metaphor,🍥,fish-cake,uva,metaphorical,
rare,metaphor,🇭🇰,hong-kong,ohonogo,metaphorical,
intention,metaphor,💭,thought,oduho,metaphorical,
settlement,metaphor,🎴,hanafuda,ahanu,metaphorical,
gap,metaphor,🕳️,hole,ohe,metaphorical,
minimum,metaphor,➖,minus,umunu,metaphorical,
northern,metaphor,❄️,snowflake,ozane,metaphorical,
estate,metaphor,🧜,merperson,emero,metaphorical,
expose,metaphor,🔦,flashlight,avula,metaphorical,
shut,metaphor,🚪,door,odorodo,metaphorical,
victory,literal,✌️,victory,uvo,exact,
resolve,metaphor,✅,check,egehege,metaphorical,
critic,metaphor,👎,thumbs-down,udohu,metaphorical,
variable,metaphor,🪏,shovel,ozeho,metaphorical,
enormous,metaphor,🐘,elephant,eleba,metaphorical,
sweet,metaphor,🍠,sweet-potato,ezewo,metaphorical,
pursue,metaphor,📴,phone-off,obehono,metaphorical,
urge,metaphor,⛸️,skating,azuga,metaphorical,
appoint,metaphor,🪇,maracas,amara,metaphorical,
milk,literal,🥛,milk,umu,exact,
talent,metaphor,🪬,hamsa,ahama,metaphorical,
smell,metaphor,👃,nose,one,metaphorical,
prior,metaphor,↩️,back,abagaga,metaphorical,
priority,metaphor,🦛,hippopotamus,uho,metaphorical,
online,metaphor,🛜,wireless,uwere,metaphorical,
phrase,metaphor,🫓,flatbread,avela,metaphorical,
pilot,literal,🧑‍✈️,pilot,ubo,exact,
steady,metaphor,⚓,anchor,anoga,metaphorical,
mere,metaphor,💨,dash,ada,metaphorical,
resolution,metaphor,🤭,gasp,aga,metaphorical,
communicate,metaphor,🦜,parrot,aboraro,metaphorical,
wound,metaphor,🐛,bug,ubugubugu,metaphorical,
exhibition,metaphor,☯️,yin-yang,onuno,metaphorical,
producer,metaphor,🎬,clapperboard,agelo,metaphorical,
regional,metaphor,⏯️,play-pause,abolabu,metaphorical,
incident,metaphor,🧵,thread,edahera,metaphorical,
childhood,metaphor,🌻,sunflower,uzone,metaphorical,
slip,metaphor,🍌,banana,abanana,metaphorical,
accompany,metaphor,🧑‍🤝‍🧑,holding-hands,ohu,metaphorical,
politician,metaphor,🧕,headscarf,ehada,metaphorical,
angry,literal,😠,angry,ano,exact,
knock,metaphor,🐙,octopus,ogodu,metaphorical,
salary,metaphor,🇦🇫,afghanistan,avagu,metaphorical,
illustrate,metaphor,🖍️,crayon,agoro,metaphorical,
imply,metaphor,😬,grimace,uga,metaphorical,
breakfast,metaphor,🍳,cooking,ogoguno,metaphorical,
liberal,metaphor,🕊️,dove,odevo,metaphorical,
qualify,metaphor,🐒,monkey,ome,metaphorical,
yellow,literal,🟡,yellow,olelo,exact,
habit,metaphor,🔁,repeat,ereba,metaphorical,
album,metaphor,💿,cd,agadaga,metaphorical,
core,metaphor,🍎,apple,abeba,metaphorical,
aircraft,metaphor,✈️,airplane,arubale,metaphorical,
self,metaphor,🪞,mirror,umoru,metaphorical,
metal,metaphor,🤘,rock-on,orogo,metaphorical,
existence,metaphor,🌺,hibiscus,uhubu,metaphorical,
bone,literal,🦴,bone,obeno,exact,
panel,metaphor,🪟,window,uwonu,metaphorical,
prime,metaphor,1️⃣,1,ujuju,metaphorical,
appointment,metaphor,🥜,peanut,ebanu,metaphorical,
emphasize,metaphor,❗,exclamation-red,ezagalu,metaphorical,
maximum,metaphor,➕,plus,ubuluzu,metaphorical,
elsewhere,function,,,,denylist,
bother,metaphor,🦟,mosquito,omuzu,metaphorical,
initiative,metaphor,🕐,time,udemude,metaphorical,
sharp,metaphor,🔪,knife,ugenuve,metaphorical,
diet,metaphor,🥗,salad,azala,metaphorical,
motion,metaphor,🕺,dancing,adu,metaphorical,
gray,metaphor,☁️,cloud,ogulo,metaphorical,
complicate,metaphor,🪢,knot,ogono,metaphorical,
discipline,metaphor,🥋,martial-arts,amura,metaphorical,
disappoint,metaphor,😞,disappointed,uda,metaphorical,
assumption,metaphor,🐣,hatch,ahada,metaphorical,
freeze,metaphor,🍈,melon,emole,metaphorical,
extreme,metaphor,🌋,volcano,ova,metaphorical,
passage,metaphor,🌉,bridge-night,uberudu,metaphorical,
reputation,metaphor,⏮️,prev-track,ebareva,metaphorical,
forth,metaphor,↪️,forward,ovaro,metaphorical,
negotiation,metaphor,❤️‍🩹,healing,ehalu,metaphorical,
coat,literal,🧥,coat,ogado,exact,
democracy,metaphor,🇰🇳,st-kitts-nevis,uzedugu,metaphorical,
pocket,metaphor,👖,jeans,eja,metaphorical,
lucky,metaphor,🍀,four-leaf-clover,ovure,metaphorical,
observation,metaphor,🦚,peacock,ebago,metaphorical,
meat,literal,🍖,meat,emade,exact,
concentration,metaphor,🇮🇩,indonesia,unode,metaphorical,
implication,metaphor,🇦🇼,aruba,arubara,metaphorical,
deserve,metaphor,🌭,hot-dog,ohodo,metaphorical,
classic,metaphor,🐨,koala,ogala,metaphorical,
king,metaphor,🫅,monarch,oma,metaphorical,
interaction,metaphor,🦻,hearing-aid,eharu,metaphorical,
repair,metaphor,👛,purse,uberuze,metaphorical,
collapse,metaphor,🚧,construction,ogunuzodo,metaphorical,
borrow,metaphor,♨️,hot-springs,ohudo,metaphorical,
dish,metaphor,🧫,petri-dish,ebudu,metaphorical,
abroad,metaphor,🏂,snowboarding,ozo,metaphorical,
defeat,metaphor,👊,punch,ubunu,metaphorical,
enhance,metaphor,👯,partying,aboru,metaphorical,
distinguish,metaphor,🍊,tangerine,ade,metaphorical,
nearby,metaphor,💸,spend,ezebene,metaphorical,
manufacturer,metaphor,🏭,factory,avogo,metaphorical,
slide,metaphor,🛝,playground,abolo,metaphorical,
breast,metaphor,🤱,breastfeeding,ebareze,metaphorical,
cope,metaphor,🤢,nauseated,anu,metaphorical,
approximately,metaphor,〰️,dash-wavy,adazo,metaphorical,
accommodation,metaphor,🏨,hotel,ohedo,metaphorical,
highlight,metaphor,🚭,no-smoking,onozu,metaphorical,
reporter,metaphor,🎤,microphone,umogo,metaphorical,
climate,metaphor,🌡️,thermometer,edohe,metaphorical,
shirt,metaphor,👕,t-shirt,uduzuhu,metaphorical,
exception,metaphor,🥚,egg,egege,metaphorical,
chip,metaphor,🍟,fries,uveru,metaphorical,
winner,metaphor,🌧️,rain,aruna,metaphorical,
encounter,metaphor,🥭,mango,amona,metaphorical,
brown,literal,🟤,brown,oborowo,exact,
excuse,metaphor,🦣,mammoth,amo,metaphorical,
tennis,literal,🎾,tennis,edune,exact,
urban,metaphor,🏙️,cityscape,ugoda,metaphorical,
confuse,metaphor,😕,confused,ogu,metaphorical,
southern,metaphor,☀️,sun,uzunu,metaphorical,
output,metaphor,🖨️,printer,uberunedu,metaphorical,
beauty,metaphor,🌹,rose,orezo,metaphorical,
install,metaphor,🇫🇯,fiji,uvuju,metaphorical,
mouse,literal,🐁,mouse,omuze,exact,
mathematics,metaphor,♓,pisces,ubezuge,metaphorical,
upper,metaphor,⬆️,up,ububu,metaphorical,
creation,metaphor,🧑‍🎨,artist,aruda,metaphorical,
occupy,metaphor,💺,seat,ezadeza,metaphorical,
outline,metaphor,✏️,pencil,ebune,metaphorical,
preserve,metaphor,🫙,jar,aja,metaphorical,
swing,metaphor,⛳,golf,ogolovo,metaphorical,
illness,metaphor,🧏,deaf,edave,metaphorical,
journalist,metaphor,💦,sweat,ezawe,metaphorical,
advertisement,metaphor,☃️,snowman,ozanowa,metaphorical,
aside,metaphor,⬅️,left,elevede,metaphorical,
comfort,metaphor,🛋️,couch-lamp,oguga,metaphorical,
gene,metaphor,🎻,violin,uvolu,metaphorical,
prospect,metaphor,🔮,crystal-ball,ogara,metaphorical,
snow,literal,🌨️,snow,ozono,exact,
plot,metaphor,🏩,love-hotel,olevo,metaphorical,
neck,metaphor,🧣,scarf,azaga,metaphorical,
criteria,metaphor,🐁,mouse,omuze,metaphorical,
integrate,metaphor,🇲🇨,monaco,omano,metaphorical,
criticism,metaphor,🥈,silver,uzelu,metaphorical,
convention,metaphor,🍜,noodles,onode,metaphorical,
bet,metaphor,🎰,slot-machine,ozalu,metaphorical,
retain,metaphor,💾,floppy-disk,ovolu,metaphorical,
sequence,metaphor,🔢,numbers,unemu,metaphorical,
plain,metaphor,⚪,white,uwehu,metaphorical,
rural,metaphor,🧑‍🌾,farmer,avera,metaphorical,
abandon,metaphor,🗑️,wastebasket,aweza,metaphorical,
examination,metaphor,🇨🇳,china,ugahu,metaphorical,
revolution,metaphor,🌀,cyclone,ogoge,metaphorical,
delight,metaphor,😀,grin,ugu,metaphorical,
spell,metaphor,🔤,letters,eledede,metaphorical,
premise,metaphor,🇬🇳,guinea,ugune,metaphorical,
lean,metaphor,🟣,purple,uberube,metaphorical,
dramatic,metaphor,🔡,lowercase,olewa,metaphorical,
differ,metaphor,🪩,mirror-ball,umora,metaphorical,
grateful,metaphor,🙏,pray,abora,metaphorical,
protein,metaphor,🍖,meat,emade,metaphorical,
distribute,metaphor,😷,mask,ama,metaphorical,
intellectual,metaphor,🤓,nerd,ene,metaphorical,
derive,metaphor,🌱,seedling,ezedu,metaphorical,
crucial,metaphor,⚜️,fleur-de-lis,evule,metaphorical,
unemployment,metaphor,🌮,taco,adoga,metaphorical,
wheel,literal,🛞,wheel,ewehe,exact,
crop,metaphor,🇲🇱,mali,amula,metaphorical,
minority,metaphor,🫛,pea,ebabe,metaphorical,
origin,metaphor,🥮,mooncake,omona,metaphorical,
interpretation,metaphor,🎀,ribbon,urobu,metaphorical,
gentleman,metaphor,👨,man,amana,metaphorical,
drama,metaphor,🟡,yellow,olelo,metaphorical,
landscape,metaphor,🏞️,national-park,anudo,metaphorical,
educate,metaphor,🐅,tiger,udegu,metaphorical,
toy,metaphor,🧸,teddy-bear,edode,metaphorical,
fault,metaphor,🇦🇨,ascension-island,azegu,metaphorical,
minor,metaphor,👶,baby,aboba,metaphorical,
hunt,metaphor,🇬🇵,guadeloupe,ugade,metaphorical,
storm,metaphor,⛈️,thunderstorm,udeho,metaphorical,
negotiate,metaphor,🧑‍🎄,mx-claus,amuza,metaphorical,
dominate,metaphor,🍉,watermelon,awede,metaphorical,
supplier,metaphor,🩳,shorts,ozoho,metaphorical,
peer,metaphor,🧑‍🦼,motorized-wheelchair,omo,metaphorical,
pension,metaphor,🧓,older-person,olede,metaphorical,
wing,literal,🪽,wing,uwunu,exact,
acquisition,metaphor,🇹🇨,turks-caicos,udarugo,metaphorical,
laughter,metaphor,😂,laugh,alu,metaphorical,
recognition,metaphor,👢,womans-boot,owamono,metaphorical,
assistance,metaphor,🙌,raise-hands,aru,metaphorical,
roof,metaphor,🐢,turtle,uderude,metaphorical,
retirement,metaphor,🥻,sari,azura,metaphorical,
variation,metaphor,🇱🇮,liechtenstein,ulege,metaphorical,
proof,metaphor,🪽,wing,uwunu,metaphorical,
soil,metaphor,🦂,scorpion,ozugo,metaphorical,
smart,metaphor,🇪🇷,eritrea,erude,metaphorical,
layer,metaphor,🧅,onion,onu,metaphorical,
upset,metaphor,😭,cry,ogoro,metaphorical,
tooth,literal,🦷,tooth,ododo,exact,
representation,metaphor,⛎,ophiuchus,obuhu,metaphorical,
preparation,metaphor,🥎,softball,ozavo,metaphorical,
dispute,metaphor,⚔️,sword-crossed,ozowe,metaphorical,
edition,metaphor,🇧🇧,barbados,abaro,metaphorical,
silver,literal,🥈,silver,uzelu,exact,
entertainment,metaphor,🎪,circus,ugurugu,metaphorical,
honest,metaphor,🫒,olive,oluve,metaphorical,
undertake,metaphor,🐀,rat,arada,metaphorical,
retail,metaphor,🛒,cart,agarada,metaphorical,
wire,metaphor,🇹🇦,tristan-da-cunha,udara,metaphorical,
gay,metaphor,🌈,rainbow,aruno,metaphorical,
publication,metaphor,📰,newspaper,ena,metaphorical,
unknown,metaphor,❓,question-red,ugezu,metaphorical,
framework,metaphor,🎱,pool,obolobo,metaphorical,
zone,metaphor,🇫🇰,falkland-islands,avalu,metaphorical,
restrict,metaphor,🅿️,parking,aburagu,metaphorical,
trace,metaphor,👣,footprints,ovodu,metaphorical,
inch,metaphor,📏,ruler,urelu,metaphorical,
enterprise,metaphor,🇹🇬,togo,odogodogo,metaphorical,
governor,metaphor,🧦,socks,ozogogo,metaphorical,
uniform,metaphor,🇸🇽,sint-maarten,uzana,metaphorical,
port,metaphor,🌶️,pepper,ebebe,metaphorical,
pitch,metaphor,⚾,baseball,abeza,metaphorical,
arrival,literal,🛬,arrival,arura,exact,
gate,metaphor,🔂,repeat-one,erebado,metaphorical,
ease,metaphor,😌,relief,eru,metaphorical,
beer,literal,🍺,beer,eberebe,exact,
specialist,metaphor,🔬,microscope,umogore,metaphorical,
assure,metaphor,🪚,saw,azawaza,metaphorical,
profile,metaphor,🇸🇸,south-sudan,ozudu,metaphorical,
mood,metaphor,🫍,orca,orago,metaphorical,
episode,metaphor,🥢,chopsticks,oguho,metaphorical,
crack,metaphor,🦭,seal,ezale,metaphorical,
symptom,metaphor,📫,mailbox,amulo,metaphorical,
era,metaphor,🫘,bean,ebane,metaphorical,
coverage,metaphor,☂️,umbrella,umeba,metaphorical,
tension,metaphor,😓,stressed,ezede,metaphorical,
cable,metaphor,🚠,cable-car,ageba,metaphorical,
sensitive,metaphor,💮,flower,ove,metaphorical,
nervous,metaphor,😰,anxious,anuzo,metaphorical,
input,metaphor,⌨️,keyboard,egobo,metaphorical,
isolate,metaphor,🏝️,island,uzalu,metaphorical,
prisoner,metaphor,🏓,ping-pong,ubonu,metaphorical,
eliminate,metaphor,🔱,trident,uderudenu,metaphorical,
tight,metaphor,🇬🇬,guernsey,ugere,metaphorical,
secondary,metaphor,2️⃣,2,ajaja,metaphorical,
welfare,metaphor,❤️,heart,ehareda,metaphorical,
recruit,metaphor,🫣,peek,ebe,metaphorical,
exclude,metaphor,🚓,police-car,obulega,metaphorical,
string,metaphor,🧶,yarn,orano,metaphorical,
cloud,literal,☁️,cloud,ogulo,exact,
persuade,metaphor,🍙,rice-ball,uregabu,metaphorical,
inspire,metaphor,🫗,pour,oburo,metaphorical,
grand,metaphor,🏰,castle,ageza,metaphorical,
hence,metaphor,➡️,right,urugu,metaphorical,
crew,metaphor,♉,taurus,aduruza,metaphorical,
phenomenon,metaphor,☄️,comet,ogemo,metaphorical,
pupil,metaphor,🧑‍🎓,student,uzedu,metaphorical,
restore,metaphor,♻️,recycling,erogu,metaphorical,
formula,metaphor,🦏,rhinoceros,uro,metaphorical,
perceive,metaphor,🇸🇭,st-helena,ezeda,metaphorical,
routine,metaphor,🇾🇪,yemen,omenemo,metaphorical,
sink,metaphor,🛁,bathtub,abuda,metaphorical,
anymore,metaphor,⏱️,stopwatch,ozadoba,metaphorical,
hero,metaphor,🦸,superhero,uzebe,metaphorical,
supporter,metaphor,🧷,safety-pin,azevodu,metaphorical,
meter,metaphor,🧂,salt,azalada,metaphorical,
truck,literal,🚚,truck,uduru,exact,
nose,literal,👃,nose,one,exact,
beside,function,,,,denylist,
sail,metaphor,🚤,boat,obadoba,metaphorical,
disaster,metaphor,♐,sagittarius,azugadu,metaphorical,
pace,metaphor,🇮🇱,israel,uzare,metaphorical,
devote,metaphor,🍚,rice,uregu,metaphorical,
terrorist,metaphor,💣,bomb,obomobo,metaphorical,
justify,metaphor,🍣,sushi,uzuzu,metaphorical,
external,metaphor,🌐,globe,ogelo,metaphorical,
pour,literal,🫗,pour,oburo,exact,
sweep,metaphor,😉,wink,uwu,metaphorical,
obligation,metaphor,♍,virgo,uvoru,metaphorical,
sir,metaphor,🇯🇴,jordan,oja,metaphorical,
evaluate,metaphor,↗️,up-right,uburuguhu,metaphorical,
anger,literal,💢,anger,ane,exact,
pub,metaphor,🍺,beer,eberebe,metaphorical,
territory,metaphor,🐺,wolf,owolo,metaphorical,
western,metaphor,🇪🇭,western-sahara,eweza,metaphorical,
boundary,metaphor,🛂,passport-control,abozo,metaphorical,
scream,literal,😱,scream,eza,exact,
withdraw,metaphor,🏧,atm,adama,metaphorical,
disorder,metaphor,💫,dizzy,udo,metaphorical,
furniture,metaphor,🪑,chair,aguharu,metaphorical,
symbol,metaphor,🔣,symbols,ozomo,metaphorical,
steel,metaphor,🔩,nut-bolt,unodu,metaphorical,
restriction,metaphor,🇧🇹,bhutan,ubahu,metaphorical,
foundation,metaphor,👟,sneaker,ezane,metaphorical,
singer,literal,🧑‍🎤,singer,uzenu,exact,
trap,metaphor,🪤,mousetrap,omuzeda,metaphorical,
evil,metaphor,😈,devil,edu,metaphorical,
tune,metaphor,🙃,upside-down,ubu,metaphorical,
grass,metaphor,👸,princess,uberune,metaphorical,
bid,metaphor,🙋,raise-hand,aruze,metaphorical,
breed,metaphor,🐕,dog,odogodo,metaphorical,
extraordinary,metaphor,🎾,tennis,edune,metaphorical,
brilliant,metaphor,🦺,safety-vest,azevo,metaphorical,
adviser,metaphor,🦉,owl,owolowo,metaphorical,
stem,metaphor,🌿,herb,ehere,metaphorical,
reverse,metaphor,🔃,reload,erola,metaphorical,
mode,metaphor,⚙️,gear,egare,metaphorical,
mirror,literal,🪞,mirror,umoru,exact,
awful,metaphor,🇱🇸,lesotho,elozo,metaphorical,
pose,metaphor,🍶,sake,azega,metaphorical,
adjust,metaphor,🇰🇭,cambodia,agomu,metaphorical,
creative,metaphor,🥅,goal,ogalo,metaphorical,
nowadays,metaphor,⌚,watch,awa,metaphorical,
poem,metaphor,🥡,takeout,adego,metaphorical,
competitor,metaphor,🍅,tomato,oda,metaphorical,
alcohol,metaphor,🍷,wine,uwenu,metaphorical,
festival,metaphor,🇦🇴,angola,anogala,metaphorical,
vegetable,metaphor,🥦,broccoli,oboru,metaphorical,
van,metaphor,🚌,bus,ubuzu,metaphorical,
confident,metaphor,™️,trademark,adera,metaphorical,
curve,metaphor,🥌,curling,ugurulunu,metaphorical,
knee,metaphor,🦵,leg,ele,metaphorical,
overcome,metaphor,🌄,sunrise-mountains,uzune,metaphorical,
depth,metaphor,🌊,ocean-wave,ogena,metaphorical,
entrance,metaphor,🇧🇴,bolivia,obulu,metaphorical,
log,metaphor,🪵,wood,owodo,metaphorical,
giant,metaphor,🚯,no-littering,onule,metaphorical,
god,metaphor,🕉️,om,omomo,metaphorical,
substance,metaphor,⏲️,timer,udemu,metaphorical,
interpret,metaphor,✡️,star-of-david,azodaru,metaphorical,
independence,metaphor,🎆,fireworks,uvero,metaphorical,
sugar,metaphor,🍬,candy,agona,metaphorical,
inner,metaphor,🕍,synagogue,ozano,metaphorical,
harm,metaphor,🇺🇳,un,ununu,metaphorical,
consult,metaphor,🪡,sewing-needle,ezuwe,metaphorical,
pink,metaphor,🧨,firecracker,uvera,metaphorical,
shadow,metaphor,🇰🇵,north-korea,onore,metaphorical,
strip,metaphor,✂️,scissors,uzogu,metaphorical,
smooth,metaphor,🧼,soap,ozabo,metaphorical,
intervention,metaphor,🇶🇦,qatar,agadara,metaphorical,
vice,metaphor,👹,ogre,oge,metaphorical,
radical,metaphor,🎄,christmas-tree,ugahe,metaphorical,
behave,metaphor,🇧🇿,belize,ebule,metaphorical,
dimension,metaphor,🔺,up-triangle,ubuda,metaphorical,
infection,metaphor,🦠,microbe,umoge,metaphorical,
jacket,metaphor,🧥,coat,ogado,metaphorical,
efficiency,metaphor,🫖,teapot,edabo,metaphorical,
dirty,metaphor,😫,tired,uderu,metaphorical,
statistic,metaphor,🇱🇨,st-lucia,uzuda,metaphorical,
resort,metaphor,🩴,sandal,azanada,metaphorical,
broadcast,metaphor,📻,radio,arudo,metaphorical,
membership,metaphor,🦨,skunk,uzugunugu,metaphorical,
bread,literal,🍞,bread,ebareda,exact,
blind,metaphor,🇸🇷,suriname,uzura,metaphorical,
pure,metaphor,💧,droplet,odero,metaphorical,
bloody,metaphor,🩸,blood-drop,obolodo,metaphorical,
ally,metaphor,🦈,shark,azaha,metaphorical,
bend,metaphor,🇨🇻,cape-verde,agebe,metaphorical,
mature,metaphor,🧴,lotion,oludo,metaphorical,
disturb,metaphor,🇸🇾,syria,ozura,metaphorical,
sustain,metaphor,🏏,cricket-game,ugera,metaphorical,
flood,metaphor,🐸,frog,ovoro,metaphorical,
poverty,metaphor,🦃,turkey,udero,metaphorical,
crazy,metaphor,🤪,zany,azo,metaphorical,
cite,metaphor,😛,tongue-out,odu,metaphorical,
parallel,metaphor,🚆,train,adura,metaphorical,
gender,metaphor,⚧️,transgender,adere,metaphorical,
sponsor,metaphor,🛷,sled,ezelede,metaphorical,
boot,literal,🥾,boot,obodo,exact,
accurate,metaphor,🎯,bullseye,ubelo,metaphorical,
dealer,metaphor,😩,weary,ewa,metaphorical,
button,metaphor,📶,signal,uzagu,metaphorical,
burden,metaphor,🇱🇧,lebanon,ela,metaphorical,
desert,literal,🏜️,desert,edeze,exact,
mate,literal,🧉,mate,ameda,exact,
shareholder,metaphor,🦄,unicorn,unugo,metaphorical,
bowl,metaphor,🥣,cereal,egera,metaphorical,
discovery,metaphor,🇧🇶,caribbean-netherlands,agure,metaphorical,
resistance,metaphor,🛡️,shield,uzehu,metaphorical,
bath,literal,🛀,bath,abada,exact,
frequency,metaphor,🍤,fried-shrimp,uverudu,metaphorical,
criticize,metaphor,🍫,chocolate,ogoha,metaphorical,
tap,metaphor,🇨🇬,congo,ogonogo,metaphorical,
philosophy,metaphor,🪈,flute,uvelu,metaphorical,
lip,metaphor,💋,lips,ulu,metaphorical,
attribute,metaphor,😶,speechless,ezebe,metaphorical,
approval,metaphor,👌,ok,ogogo,metaphorical,
entitle,metaphor,🧛,vampire,avume,metaphorical,
lend,metaphor,😪,sleepy,ezelo,metaphorical,
involvement,metaphor,🥴,woozy,owo,metaphorical,
exposure,metaphor,🇬🇲,gambia,agumaba,metaphorical,
custom,metaphor,🛃,customs,ugozu,metaphorical,
translate,metaphor,🦝,raccoon,aro,metaphorical,
edit,metaphor,🇬🇶,equatorial-guinea,egudarolu,metaphorical,
formation,metaphor,🦖,t-rex,edereze,metaphorical,
deposit,metaphor,🤺,fencing,evune,metaphorical,
overseas,metaphor,🇸🇻,el-salvador,elaza,metaphorical,
advocate,metaphor,🛐,worship,owuro,metaphorical,
establishment,metaphor,🏐,volleyball,ovelo,metaphorical,
summary,metaphor,🇦🇶,antarctica,anadu,metaphorical,
rough,metaphor,🪨,rock,orogogo,metaphorical,
pen,literal,🖊️,pen,ebene,exact,
recovery,metaphor,🟢,green,egerene,metaphorical,
seal,literal,🦭,seal,ezale,exact,
tower,metaphor,🗼,tokyo-tower,odogodowe,metaphorical,
characterize,metaphor,🇻🇪,venezuela,evenu,metaphorical,
specify,metaphor,🇲🇹,malta,amala,metaphorical,
exact,metaphor,◀️,rewind,eruwe,metaphorical,
